"ï..Status","card_present","txn_description","first_name","balance","date","gender","age","State","amount","movement","SalaryPerAnnum"
"27","2",NA,"1","Ryan","586.2","8/1/2018","2",31,NA,"36","0","146,952.72"
"28","1",1,"0","Michelle","1,636.91","8/1/2018","1",19,"2","17.96","0","15,480.96"
"29","1",1,"0","Richard","11,525.54","8/1/2018","2",24,"0","14.49","0","355,745.04"
"30","1",0,"0","Michelle","1,625.34","8/1/2018","1",19,"2","11.57","0","698,072.52"
"31","1",1,"2","Rhonda","2,072.10","8/1/2018","1",40,"0","45.12","0","25,035.72"
"32","1",0,"2","Jessica","12,529.59","8/1/2018","1",34,"3","33.89","0","13,643.64"
"33","1",1,"0","Kimberly","698.61","8/1/2018","1",24,"1","9.67","0","44,004.72"
"34","1",1,"2","Ronald","2,086.31","8/1/2018","2",25,"0","4.38","0","37,415.28"
"35","1",1,"2","Kaitlyn","1,689.89","8/1/2018","1",21,"2","28.49","0","49,702.44"
"36","1",1,"2","Kaitlyn","1,675.46","8/1/2018","1",21,"4","14.43","0","2,238,502.32"
"37","1",1,"0","Richard","11,438.51","8/1/2018","2",24,"0","87.03","0","50,105.28"
"38","1",1,"2","Lori","38.42","8/1/2018","1",18,"0","36.28","0","362,362.68"
"39","1",0,"2","Virginia","1,089.59","8/1/2018","1",20,"4","15.91","0","47,108.88"
"40","1",1,"2","Andrew","49,756.21","8/1/2018","2",78,"1","25.7","0","24,707.04"
"41","2",NA,"1","Rhonda","2,040.10","8/1/2018","1",40,NA,"32","0","40,077.96"
"42","2",NA,"3","Susan","137.14","8/1/2018","1",20,NA,"39","0","349,725.00"
"43","2",NA,"1","Richard","292.77","8/1/2018","2",22,NA,"34","0","24,374.28"
"44","2",NA,"1","Luis","28.04","8/1/2018","2",27,NA,"29","0","24,481.20"
"45","2",NA,"1","Gregory","754.2","8/1/2018","2",42,NA,"150","0","19,504.08"
"46","2",NA,"1","Joseph","763.64","8/1/2018","2",21,NA,"30","0","341,866.44"
"47","1",1,"0","Barry","301.65","8/1/2018","2",38,"2","20.43","0","19,309.92"
"48","1",0,"0","Daniel","1,290.08","8/1/2018","2",22,"2","31.62","0","475,620.00"
"49","1",1,"0","Renee","18,784.07","8/1/2018","1",38,"1","16.13","0","13,088.88"
"50","1",1,"2","Emily","29,645.42","8/1/2018","1",43,"1","937.73","0","28,684.20"
"51","2",NA,"4","Isaiah","8,342.11","8/1/2018","2",23,NA,"3,903.95","1","244,044.60"
"52","2",NA,"1","Daniel","1,195.08","8/1/2018","2",22,NA,"95","0","34,743.36"
"53","1",1,"2","Michael","454.94","8/1/2018","2",40,"4","11.64","0","636,366.48"
"54","1",1,"2","Amy","27.86","8/1/2018","1",43,"1","28","0","20,465.16"
"55","1",1,"2","Gregory","689.22","8/1/2018","2",42,"2","64.98","0","2,236,462.32"
"56","1",1,"0","Michael","440.66","8/1/2018","2",40,"2","14.28","0","28,831.20"
"57","1",1,"0","Emily","29,143.75","8/1/2018","1",43,"0","501.67","0","36,146.04"
"58","1",1,"2","Christopher","58,154.74","8/1/2018","2",33,"1","17.97","0","14,340.96"
"59","1",0,"2","Kimberly","589.1","8/1/2018","1",24,"2","109.51","0","33,588.48"
"60","1",0,"2","Ronald","2,058.92","8/1/2018","2",25,"1","27.39","0","121,990.92"
"61","1",1,"2","Jeffrey","1,109.58","8/1/2018","2",24,"1","27.39","0","36,863.28"
"62","2",NA,"4","Marissa","2,040.58","8/1/2018","1",23,NA,"1,626.48","1","83,572.44"
"63","2",NA,"1","Karen","3,071.94","8/1/2018","1",26,NA,"46","0","12,991.68"
"64","2",NA,"3","Tonya","150.08","8/1/2018","1",27,NA,"57","0","24,486.96"
"65","2",NA,"4","Eric","3,158.51","8/1/2018","2",22,NA,"983.36","1","12,210.24"
"66","2",NA,"1","Natasha","186,371.86","8/1/2018","1",40,NA,"170","0","72,507.12"
"67","1",1,"2","Edward","4,172.16","8/1/2018","2",19,"3","3.28","0","85,137.24"
"68","1",1,"2","Craig","30,163.44","8/1/2018","2",28,"2","33.45","0","336,139.80"
"69","2",NA,"4","Jeffrey","2,517.66","8/1/2018","2",24,NA,"1,408.08","1","197,199.84"
"70","2",NA,"3","Ronald","2,032.92","8/1/2018","2",25,NA,"26","0","12,082.20"
"71","2",NA,"4","Kristin","2,271.79","8/1/2018","1",43,NA,"1,068.04","1","335,818.80"
"72","1",0,"2","Emily","29,128.11","8/1/2018","1",43,"1","15.64","0","52,182.00"
"73","2",NA,"4","Diana","1,017.52","8/1/2018","1",26,NA,"1,013.67","1","24,308.64"
"74","1",1,"2","Susan","119.88","8/1/2018","1",20,"2","17.26","0","424,300.32"
"75","1",0,"0","Kimberly","538.85","8/1/2018","1",24,"1","50.25","0","24,348.60"
"76","1",1,"2","Sandra","486.68","8/1/2018","1",34,"6","22.25","0","83,301.36"
"77","1",1,"0","Rhonda","2,029.05","8/1/2018","1",40,"2","11.05","0","20,675.28"
"78","1",1,"2","Michelle","1,609.16","8/1/2018","1",19,"2","16.18","0","19,230.96"
"79","1",0,"0","Michael","429.2","8/1/2018","2",40,"2","11.46","0","24,496.92"
"80","2",NA,"1","Debra","86.91","8/1/2018","1",18,NA,"36","0","21,556.44"
"81","2",NA,"1","Ryan","28,453.87","8/1/2018","2",38,NA,"35","0","84,561.24"
"82","1",0,"2","Michele","86.3","8/1/2018","1",30,"1","5.29","0","335,442.36"
"83","1",1,"0","Michelle","1,602.58","8/1/2018","1",19,"2","6.58","0","13,075.08"
"84","1",1,"0","Antonio","713.56","8/1/2018","2",26,"4","16.03","0","100,105.32"
"85","1",1,"2","Jessica","143.4","8/1/2018","1",21,"6","32.41","0","697,856.88"
"86","1",1,"0","Joseph","750.75","8/1/2018","2",21,"1","12.89","0","660,335.88"
"87","1",1,"2","Antonio","697.46","8/1/2018","2",26,"2","16.1","0","80,037.84"
"88","1",1,"0","Michael","39,595.08","8/1/2018","2",22,"1","39.92","0","20,159.28"
"89","1",1,"2","Tyler","1,082.64","8/1/2018","2",44,"1","8.1","0","12,893.16"
"90","2",NA,"1","Lucas","2,335.35","8/1/2018","2",21,NA,"55","0","51,978.00"
"91","2",NA,"4","Jessica","16,433.32","8/1/2018","1",34,NA,"3,903.73","1","37,974.96"
"92","2",NA,"1","Susan","8.06","8/1/2018","1",20,NA,"35","0","423,868.32"
"93","2",NA,"4","Antonio","1,796.37","8/1/2018","2",26,NA,"1,098.91","1","19,359.84"
"94","2",NA,"4","Jonathan","50,383.16","8/1/2018","2",38,NA,"2,647.38","1","14,021.52"
"95","1",1,"2","Robert","1,691.91","8/1/2018","2",20,"2","13.52","0","27,261.48"
"96","1",0,"2","Susan","43.06","8/1/2018","1",20,"2","76.82","0","628,364.40"
"97","1",0,"2","Natasha","186,344.95","8/1/2018","1",40,"1","26.91","0","23,567.28"
"98","2",NA,"4","Michele","1,244.45","8/1/2018","1",30,NA,"1,158.15","1","24,897.48"
"99","2",NA,"4","Tyler","1,969.05","8/1/2018","2",69,NA,"1,043.12","1","2,236,139.40"
"100","2",NA,"1","Daniel","1,162.08","8/1/2018","2",22,NA,"33","0","28,024.20"
"101","2",NA,"4","Susan","1,403.55","8/1/2018","1",20,NA,"1,395.49","1","53,692.56"
"102","2",NA,"4","Matthew","7,094.77","8/1/2018","2",39,NA,"3,071.14","1","197,061.36"
"103","2",NA,"1","Karen","3,021.94","8/1/2018","1",26,NA,"50","0","36,263.28"
"104","2",NA,"1","Sandra","300.09","8/1/2018","1",34,NA,"168","0","23,005.32"
"105","1",0,"2","James","6,941.78","8/1/2018","2",28,"2","22.59","0","22,472.64"
"106","1",1,"0","Tyler","1,067.36","8/1/2018","2",44,"1","15.28","0","22,140.48"
"107","1",1,"0","Mackenzie","189.55","8/1/2018","1",18,"3","5.62","0","21,916.08"
"108","1",1,"0","Ryan","492.41","8/1/2018","2",31,"2","93.79","0","608,053.68"
"109","1",1,"0","Marissa","2,025.72","8/1/2018","1",23,"1","14.86","0","12,808.32"
"110","1",1,"0","Sandra","468.09","8/1/2018","1",34,"6","18.59","0","27,526.32"
"111","2",NA,"1","Linda","860.46","8/1/2018","1",24,NA,"46","0","597,074.52"
"112","1",1,"2","Diana","1,006.85","8/1/2018","1",26,"0","10.67","0","30,211.92"
"113","1",0,"0","Christopher","6,022.68","8/1/2018","2",35,"3","19.58","0","57,933.12"
"114","2",NA,"1","Matthew","7,046.77","8/1/2018","2",39,NA,"48","0","20,302.92"
"115","1",1,"0","Michael","27,984.90","8/1/2018","2",21,"2","26.75","0","196,737.36"
"116","1",1,"2","Dustin","823.53","8/1/2018","2",28,"1","9.21","0","21,208.44"
"117","1",1,"2","Jessica","16,421.78","8/1/2018","1",34,"2","11.54","0","37,410.96"
"118","1",0,"0","Diana","995.57","8/1/2018","1",26,"0","11.28","0","423,663.84"
"119","1",1,"0","Michael","27,953.53","8/1/2018","2",21,"0","31.37","0","615,704.16"
"120","1",1,"2","Richard","445.04","8/1/2018","2",37,"0","23.86","0","2,234,835.60"
"121","2",NA,"1","Fernando","4,331.50","8/1/2018","2",19,NA,"17","0","36,564.96"
"122","2",NA,"1","Marissa","1,992.72","8/1/2018","1",23,NA,"33","0","23,240.04"
"123","2",NA,"3","Tonya","117.08","8/1/2018","1",27,NA,"33","0","335,076.72"
"124","2",NA,"5","Eric","35,322.36","8/1/2018","2",42,NA,"36","0","99,673.44"
"125","1",1,"0","Rhonda","1,963.94","8/1/2018","1",40,"0","65.11","0","56,762.76"
"126","1",0,"0","James","6,924.65","8/1/2018","2",28,"5","17.13","0","32,173.44"
"127","2",NA,"3","Heather","1,679.94","8/1/2018","1",41,NA,"43","0","50,065.92"
"128","1",1,"0","Kimberly","34.97","8/1/2018","1",27,"1","7.29","0","37,902.12"
"129","1",1,"2","Derek","614.93","8/1/2018","2",20,"1","27.82","0","84,177.24"
"130","1",0,"2","Diana","986.58","8/1/2018","1",26,"0","8.99","0","43,441.08"
"131","1",0,"2","Barry","279.86","8/1/2018","2",38,"2","21.79","0","20,912.64"
"132","2",NA,"1","Michelle","1,569.58","8/1/2018","1",19,NA,"33","0","23,628.60"
"133","1",1,"2","Diana","976.26","8/1/2018","1",26,"0","10.32","0","361,961.28"
"134","1",1,"2","Scott","94.45","8/1/2018","2",23,"2","19.04","0","423,048.96"
"135","2",NA,"1","Michael","1,884.41","8/1/2018","2",44,NA,"157","0","21,796.08"
"136","2",NA,"1","Antonio","1,767.37","8/1/2018","2",26,NA,"29","0","36,924.84"
"137","2",NA,"1","Matthew","7,014.77","8/1/2018","2",39,NA,"32","0","21,492.00"
"138","1",1,"0","Michael","27,923.06","8/2/2018","2",21,"1","30.47","0","97,881.96"
"139","1",0,"0","Virginia","1,074.43","8/2/2018","1",20,"4","15.16","0","19,895.28"
"140","1",1,"2","Ricky","163.59","8/2/2018","2",43,"1","10.07","0","291,346.32"
"141","1",1,"0","Isaiah","8,306.12","8/2/2018","2",23,"2","35.99","0","21,737.64"
"142","2",NA,"3","Ricky","147.59","8/2/2018","2",43,NA,"16","0","12,676.56"
"143","1",1,"0","Charles","128.21","8/2/2018","2",18,"0","32.06","0","14,933.40"
"144","1",1,"0","Christopher","58,111.04","8/2/2018","2",33,"1","43.7","0","607,891.80"
"145","2",NA,"1","Tim","54,980.99","8/2/2018","2",40,NA,"47","0","20,548.68"
"146","2",NA,"1","Joseph","223.93","8/2/2018","2",37,NA,"52","0","39,181.56"
"147","1",1,"0","Melissa","128.76","8/2/2018","1",30,"1","36.07","0","27,342.48"
"148","2",NA,"1","Darren","6,630.82","8/2/2018","2",20,NA,"39","0","37,560.00"
"149","2",NA,"1","Heather","1,657.94","8/2/2018","1",41,NA,"22","0","98,269.44"
"150","1",1,"0","Virginia","1,066.35","8/2/2018","1",20,"4","8.08","0","97,730.88"
"151","1",1,"0","Lori","15.93","8/2/2018","1",18,"1","22.49","0","12,426.60"
"152","2",NA,"1","Fernando","4,298.50","8/2/2018","2",19,NA,"33","0","551,821.20"
"153","2",NA,"1","Joseph","205.93","8/2/2018","2",37,NA,"18","0","21,510.84"
"154","2",NA,"1","Tiffany","213.37","8/2/2018","1",25,NA,"46","0","31,993.44"
"155","2",NA,"1","Jacqueline","3,117.58","8/2/2018","1",30,NA,"47","0","334,786.68"
"156","1",1,"2","Eric","35,305.32","8/2/2018","2",42,"1","17.04","0","95,558.88"
"157","2",NA,"1","Linda","1,580.32","8/2/2018","1",35,NA,"33","0","2,234,343.60"
"158","2",NA,"3","Cindy","1,146.46","8/2/2018","1",19,NA,"22","0","20,105.52"
"159","2",NA,"3","Kristin","2,074.79","8/2/2018","1",43,NA,"197","0","164,180.88"
"160","1",0,"2","Michael","50,671.14","8/2/2018","2",19,"4","1,692.56","0","137,262.12"
"161","1",1,"2","Rhonda","1,917.11","8/2/2018","1",40,"0","46.83","0","3,126,177.96"
"162","2",NA,"1","Kristin","2,031.79","8/2/2018","1",43,NA,"43","0","19,617.24"
"163","2",NA,"1","Mackenzie","38.55","8/2/2018","1",18,NA,"151","0","604,597.92"
"164","1",1,"2","Stephanie","463.96","8/2/2018","1",53,"0","6.48","0","361,569.24"
"165","1",1,"2","Natasha","186,236.30","8/2/2018","1",40,"2","108.65","0","69,462.36"
"166","1",0,"2","Ruth","17.44","8/2/2018","1",47,"4","20.87","0","12,807.00"
"167","1",1,"0","Lucas","2,293.86","8/2/2018","2",21,"3","41.49","0","12,246.60"
"168","1",1,"0","Diana","968.15","8/2/2018","1",26,"0","8.11","0","607,654.20"
"169","1",1,"2","Linda","847.49","8/2/2018","1",24,"4","12.97","0","137,094.96"
"170","1",1,"0","Christine","4,428.26","8/2/2018","1",39,"1","46.12","0","513,481.08"
"171","2",NA,"1","Jessica","16,394.78","8/2/2018","1",34,NA,"27","0","83,095.80"
"172","2",NA,"3","Jessica","104.4","8/2/2018","1",21,NA,"39","0","80,674.20"
"173","1",0,"2","Susan","842.07","8/2/2018","1",19,"1","25.7","0","33,934.20"
"174","1",1,"0","Karen","2,986.34","8/2/2018","1",26,"3","35.6","0","72,272.16"
"175","1",1,"2","Rhonda","1,872.72","8/2/2018","1",40,"4","44.39","0","18,603.24"
"176","1",1,"2","Rhonda","1,845.04","8/2/2018","1",40,"0","27.68","0","13,757.52"
"177","1",1,"2","Rhonda","1,826.34","8/2/2018","1",40,"2","18.7","0","83,457.24"
"178","1",1,"0","Rhonda","1,816.34","8/2/2018","1",40,"0","10","0","361,224.72"
"179","1",1,"0","Michael","50,657.65","8/2/2018","2",19,"4","13.49","0","21,096.00"
"180","1",0,"0","Rachael","344.8","8/2/2018","1",21,"1","20.26","0","53,139.12"
"181","1",1,"2","Diana","956.92","8/2/2018","1",26,"0","11.23","0","697,332.48"
"182","1",1,"2","Tyler","1,035.55","8/2/2018","2",44,"1","31.81","0","607,091.88"
"183","1",1,"0","Diana","949.22","8/2/2018","1",26,"0","7.7","0","79,569.84"
"184","1",1,"0","Lucas","2,285.02","8/2/2018","2",21,"4","8.84","0","21,471.72"
"185","1",1,"2","Andrew","49,743.84","8/2/2018","2",78,"1","12.37","0","422,857.56"
"186","1",1,"0","Mary","159.66","8/2/2018","1",64,"1","31.5","0","18,963.84"
"187","1",1,"0","Kimberly","521.73","8/2/2018","1",24,"1","17.12","0","12,461.52"
"188","2",NA,"1","Jeffrey","2,476.66","8/2/2018","2",24,NA,"41","0","136,401.96"
"189","2",NA,"4","Karen","3,907.05","8/2/2018","1",26,NA,"920.71","1","29,768.88"
"190","2",NA,"3","Robert","1,667.91","8/2/2018","2",20,NA,"24","0","360,678.12"
"191","1",1,"2","Jessica","16,373.36","8/2/2018","1",34,"3","21.42","0","18,834.96"
"192","1",1,"2","Diana","941.23","8/2/2018","1",26,"0","7.99","0","24,381.48"
"193","1",1,"0","Diana","931.76","8/2/2018","1",26,"2","9.47","0","359,190.12"
"194","1",1,"2","Charles","107.79","8/2/2018","2",18,"0","20.42","0","79,431.00"
"195","1",1,"2","Jessica","96.25","8/2/2018","1",21,"6","8.15","0","512,449.08"
"196","1",1,"2","Antonio","1,742.72","8/2/2018","2",26,"4","24.65","0","12,176.64"
"197","1",0,"2","Jacqueline","3,047.08","8/2/2018","1",30,"2","70.5","0","18,485.52"
"198","1",1,"0","Amy","4.41","8/2/2018","1",43,"2","23.45","0","29,719.92"
"199","1",1,"2","Eric","35,254.08","8/2/2018","2",42,"1","51.24","0","659,771.88"
"200","2",NA,"4","Andrew","50,526.26","8/2/2018","2",78,NA,"782.42","1","71,840.16"
"201","2",NA,"5","Natasha","186,195.30","8/2/2018","1",40,NA,"41","0","21,224.16"
"202","2",NA,"1","Joseph","715.75","8/2/2018","2",21,NA,"35","0","29,530.80"
"203","1",1,"2","Jacqueline","3,008.22","8/2/2018","1",30,"3","38.86","0","422,463.96"
"204","1",1,"0","Maria","1,903.70","8/2/2018","1",35,"2","32.97","0","17,728.44"
"205","1",0,"2","Michael","27,898.89","8/2/2018","2",21,"1","24.17","0","17,574.84"
"206","2",NA,"3","Isaiah","8,189.12","8/2/2018","2",23,NA,"117","0","17,307.12"
"207","2",NA,"4","Richard","2,511.50","8/2/2018","2",22,NA,"2,218.73","1","696,624.48"
"208","2",NA,"1","Timothy","2,666.12","8/2/2018","2",20,NA,"15","0","135,885.96"
"209","1",1,"0","Edward","4,158.41","8/2/2018","2",19,"4","13.75","0","291,224.76"
"210","1",1,"0","Scott","86.96","8/2/2018","2",23,"2","7.49","0","18,775.44"
"211","1",1,"0","Charles","92.48","8/2/2018","2",18,"0","15.31","0","17,295.24"
"212","1",0,"2","Eric","3,130.00","8/2/2018","2",22,"2","28.51","0","19,299.36"
"213","2",NA,"1","Matthew","6,954.77","8/2/2018","2",39,NA,"60","0","386,589.24"
"214","2",NA,"4","Jeffrey","1,811.47","8/2/2018","2",30,NA,"1,808.62","1","31,906.56"
"215","1",1,"2","Antonio","1,712.39","8/2/2018","2",26,"4","30.33","0","12,118.92"
"216","1",1,"0","Nathaniel","14.26","8/2/2018","2",31,"2","20.07","0","52,515.12"
"217","1",0,"2","Tyler","1,948.27","8/2/2018","2",69,"1","20.78","0","196,480.32"
"218","1",1,"2","Craig","30,130.77","8/2/2018","2",28,"2","32.67","0","14,835.24"
"219","1",1,"2","Tonya","66.15","8/2/2018","1",27,"0","50.93","0","40,127.16"
"220","1",1,"0","Susan","823.87","8/2/2018","1",19,"1","18.2","0","23,873.88"
"221","1",1,"2","Eric","35,238.13","8/2/2018","2",42,"1","15.95","0","82,557.72"
"222","1",1,"0","Rhonda","1,791.00","8/2/2018","1",40,"0","25.34","0","23,912.64"
"223","2",NA,"4","Michael","2,480.74","8/2/2018","2",44,NA,"596.33","1","51,563.76"
"224","2",NA,"1","Rhonda","1,758.00","8/2/2018","1",40,NA,"33","0","91,046.28"
"225","2",NA,"4","Robert","6,722.85","8/2/2018","2",26,NA,"1,433.98","1","15,739.92"
"226","1",1,"0","Rachael","332.57","8/2/2018","1",21,"1","12.23","0","31,968.36"
"227","1",1,"2","Heather","1,550.27","8/2/2018","1",41,"1","107.67","0","46,837.80"
"228","1",1,"0","Elizabeth","24,268.73","8/2/2018","1",50,"1","10.13","0","19,963.08"
"229","1",0,"0","Jeffrey","1,789.31","8/2/2018","2",30,"0","22.16","0","225,408.84"
"230","1",1,"0","Paul","1,014.72","8/2/2018","2",25,"4","41.66","0","23,697.24"
"231","1",1,"0","Michele","1,236.27","8/2/2018","1",30,"2","8.18","0","163,005.48"
"232","1",1,"0","Michael","50,637.85","8/2/2018","2",19,"4","19.8","0","658,199.88"
"233","1",1,"0","Linda","842.78","8/2/2018","1",24,"4","4.71","0","325,522.20"
"234","1",1,"0","Antonio","1,663.59","8/2/2018","2",26,"4","48.8","0","24,174.84"
"235","2",NA,"4","Amy","1,634.77","8/2/2018","1",43,NA,"1,630.36","1","422,096.76"
"236","2",NA,"4","Richard","1,361.79","8/2/2018","2",37,NA,"916.75","1","27,279.60"
"237","1",1,"2","Eric","2,866.56","8/2/2018","2",22,"2","263.44","0","23,644.68"
"238","1",1,"2","Mackenzie","2.38","8/2/2018","1",18,"2","36.17","0","26,461.68"
"239","1",1,"2","Rachael","326.94","8/2/2018","1",21,"1","5.63","0","68,760.60"
"240","1",0,"2","Isaiah","8,144.24","8/2/2018","2",23,"3","44.88","0","51,918.12"
"241","2",NA,"1","Isaiah","7,963.24","8/2/2018","2",23,NA,"181","0","16,341.48"
"242","2",NA,"1","Tyler","1,020.55","8/2/2018","2",44,NA,"15","0","33,550.20"
"243","2",NA,"4","Michael","42,790.09","8/2/2018","2",22,NA,"3,195.01","1","20,014.92"
"244","2",NA,"1","Sandra","263.09","8/2/2018","1",34,NA,"37","0","87,901.68"
"245","2",NA,"4","Kimberly","1,067.25","8/2/2018","1",35,NA,"725.32","1","372,057.84"
"246","1",1,"2","Gregory","661.06","8/2/2018","2",42,"2","28.16","0","358,410.12"
"247","1",1,"0","Joseph","200.94","8/2/2018","2",37,"2","4.99","0","1,243,912.56"
"248","1",1,"2","Gregory","636.59","8/2/2018","2",42,"2","24.47","0","51,573.84"
"249","1",1,"0","Timothy","2,658.88","8/2/2018","2",20,"1","7.24","0","19,083.36"
"250","1",1,"0","Michael","27,884.42","8/2/2018","2",21,"1","14.47","0","60,513.36"
"251","2",NA,"1","Isaiah","7,922.24","8/2/2018","2",23,NA,"41","0","93,835.44"
"252","2",NA,"1","Barry","230.86","8/2/2018","2",38,NA,"49","0","62,284.56"
"253","2",NA,"1","Natasha","186,174.30","8/2/2018","1",40,NA,"21","0","68,778.84"
"254","2",NA,"1","Kaitlyn","1,540.46","8/2/2018","1",21,NA,"135","0","34,678.80"
"255","1",1,"0","Sarah","13,583.79","8/2/2018","1",46,"2","97.95","0","225,313.68"
"256","1",0,"2","Richard","11,424.58","8/2/2018","2",24,"0","13.93","0","357,894.12"
"257","2",NA,"1","Patrick","260,464.83","8/2/2018","2",46,NA,"50","0","135,591.36"
"258","1",1,"0","Gregory","605.9","8/2/2018","2",42,"2","30.69","0","34,398.72"
"259","1",1,"2","Amy","1,608.28","8/2/2018","1",43,"1","26.49","0","27,192.60"
"260","1",1,"2","Jonathan","50,192.66","8/2/2018","2",38,"6","190.5","0","29,485.20"
"261","1",1,"0","Craig","30,102.06","8/2/2018","2",28,"2","28.71","0","224,974.92"
"262","1",1,"0","Melissa","105.89","8/2/2018","1",30,"4","22.87","0","657,719.88"
"263","1",0,"2","Alexander","5,748.22","8/2/2018","2",38,"2","40.31","0","51,122.64"
"264","1",1,"0","Kimberly","996.97","8/2/2018","1",35,"2","70.28","0","31,172.88"
"265","2",NA,"1","Tyler","979.55","8/2/2018","2",44,NA,"41","0","196,288.32"
"266","2",NA,"1","Donald","290.88","8/2/2018","2",22,NA,"195","0","24,289.68"
"267","1",1,"0","Michael","50,590.99","8/2/2018","2",19,"1","46.86","0","51,582.00"
"268","1",1,"2","Donald","485.88","8/2/2018","2",22,"2","23.25","0","22,844.40"
"269","1",1,"2","Richard","11,366.83","8/2/2018","2",24,"2","57.75","0","20,368.68"
"270","2",NA,"1","Michael","42,704.09","8/2/2018","2",22,NA,"86","0","49,900.92"
"271","2",NA,"5","James","6,866.65","8/2/2018","2",28,NA,"58","0","50,933.40"
"272","1",0,"2","Kenneth","147.58","8/2/2018","2",35,"4","42.94","0","23,832.12"
"273","1",1,"0","Stephanie","424.01","8/2/2018","1",53,"0","39.95","0","195,532.32"
"274","1",1,"0","Kenneth","119.37","8/2/2018","2",35,"0","28.21","0","23,550.84"
"275","1",1,"0","Robert","6,708.49","8/2/2018","2",26,"1","14.36","0","224,182.92"
"276","2",NA,"1","Ashley","2,795.85","8/2/2018","1",25,NA,"32","0","12,864.48"
"277","2",NA,"1","Christopher","5,986.68","8/2/2018","2",35,NA,"36","0","23,629.68"
"278","2",NA,"3","Heather","1,441.27","8/2/2018","1",41,NA,"109","0","606,315.12"
"279","2",NA,"1","Cindy","1,038.46","8/2/2018","1",19,NA,"108","0","51,102.00"
"280","2",NA,"1","Catherine","45.89","8/2/2018","1",26,NA,"33","0","16,961.76"
"281","1",1,"0","Matthew","6,879.81","8/2/2018","2",39,"1","74.96","0","656,381.76"
"282","1",1,"0","Craig","30,056.51","8/2/2018","2",28,"2","45.55","0","31,747.44"
"283","1",1,"2","Rhonda","1,697.39","8/2/2018","1",40,"1","60.61","0","14,427.60"
"284","2",NA,"1","Christine","4,376.26","8/2/2018","1",39,NA,"52","0","30,717.84"
"285","2",NA,"3","Christopher","58,052.04","8/2/2018","2",33,NA,"59","0","30,138.00"
"286","1",1,"2","Michael","50,459.08","8/2/2018","2",19,"2","131.91","0","357,580.56"
"287","1",1,"2","Darren","6,619.25","8/2/2018","2",20,"3","11.57","0","605,859.12"
"288","1",1,"0","Jeffrey","1,768.68","8/2/2018","2",30,"0","20.63","0","82,399.80"
"289","1",1,"0","Eric","35,205.33","8/2/2018","2",42,"1","32.8","0","16,685.76"
"290","1",1,"2","Linda","1,564.62","8/3/2018","1",35,"1","15.7","0","3,125,577.96"
"291","1",1,"0","Jessica","71.55","8/3/2018","1",21,"6","24.7","0","28,849.20"
"292","1",0,"2","Joseph","185.33","8/3/2018","2",37,"0","15.61","0","1,241,596.56"
"293","1",1,"2","Cindy","1,009.91","8/3/2018","1",19,"1","28.55","0","58,449.36"
